tile_n16,tile_16,landuse
"Tile(tms_x=39333, tms_y=44183, zoom=16)",7255,industrial
"Tile(tms_x=39329, tms_y=44180, zoom=16)",7187,residential
"Tile(tms_x=39341, tms_y=44184, zoom=16)",7337,n/a
"Tile(tms_x=39592, tms_y=45042, zoom=16)",11432,residential
"Tile(tms_x=39588, tms_y=45041, zoom=16)",11102,garages
"Tile(tms_x=39590, tms_y=45042, zoom=16)",11251,residential
"Tile(tms_x=51813, tms_y=43733, zoom=16)",38322,n/a
"Tile(tms_x=40832, tms_y=42300, zoom=16)",25765,residential
"Tile(tms_x=39654, tms_y=45072, zoom=16)",16613,grass
"Tile(tms_x=39654, tms_y=45070, zoom=16)",16612,grass
"Tile(tms_x=39599, tms_y=45091, zoom=16)",12193,garages
"Tile(tms_x=39599, tms_y=45094, zoom=16)",12196,industrial
"Tile(tms_x=39537, tms_y=45122, zoom=16)",9190,grass
"Tile(tms_x=39542, tms_y=45129, zoom=16)",9299,grass
"Tile(tms_x=39645, tms_y=41877, zoom=16)",16127,vineyard
"Tile(tms_x=39620, tms_y=45046, zoom=16)",14321,residential
"Tile(tms_x=40695, tms_y=41946, zoom=16)",24863,residential
"Tile(tms_x=40403, tms_y=41970, zoom=16)",24264,grass
"Tile(tms_x=40399, tms_y=41959, zoom=16)",24226,residential
"Tile(tms_x=40400, tms_y=41962, zoom=16)",24236,grass
"Tile(tms_x=38608, tms_y=44733, zoom=16)",5279,residential
"Tile(tms_x=38602, tms_y=44737, zoom=16)",5231,residential
"Tile(tms_x=41197, tms_y=46784, zoom=16)",27016,garages
"Tile(tms_x=42954, tms_y=44721, zoom=16)",30341,grass
"Tile(tms_x=39572, tms_y=41926, zoom=16)",10131,n/a
"Tile(tms_x=42954, tms_y=44723, zoom=16)",30343,grass
"Tile(tms_x=42955, tms_y=44722, zoom=16)",30359,grass
"Tile(tms_x=42947, tms_y=44650, zoom=16)",30260,residential
"Tile(tms_x=38276, tms_y=46447, zoom=16)",1876,residential
"Tile(tms_x=39593, tms_y=45062, zoom=16)",11535,grass
"Tile(tms_x=43796, tms_y=45405, zoom=16)",32121,garages
"Tile(tms_x=38533, tms_y=46189, zoom=16)",5079,n/a
"Tile(tms_x=41706, tms_y=45040, zoom=16)",27750,industrial
"Tile(tms_x=48408, tms_y=43756, zoom=16)",36670,n/a
"Tile(tms_x=41847, tms_y=45160, zoom=16)",28705,residential
"Tile(tms_x=48249, tms_y=45296, zoom=16)",36613,forest
"Tile(tms_x=42976, tms_y=44735, zoom=16)",30652,residential
"Tile(tms_x=42954, tms_y=44720, zoom=16)",30340,grass
"Tile(tms_x=42974, tms_y=44736, zoom=16)",30630,grass
"Tile(tms_x=38452, tms_y=46265, zoom=16)",4948,residential
"Tile(tms_x=39906, tms_y=42023, zoom=16)",20869,farmland
"Tile(tms_x=40790, tms_y=45224, zoom=16)",25655,forest
"Tile(tms_x=40785, tms_y=45227, zoom=16)",25609,grass
"Tile(tms_x=40784, tms_y=45227, zoom=16)",25598,residential
"Tile(tms_x=39710, tms_y=45229, zoom=16)",18400,grass
"Tile(tms_x=39709, tms_y=45225, zoom=16)",18368,residential
"Tile(tms_x=40707, tms_y=45289, zoom=16)",24897,grass
"Tile(tms_x=40792, tms_y=45224, zoom=16)",25677,grass
"Tile(tms_x=37931, tms_y=45729, zoom=16)",487,grass
"Tile(tms_x=40783, tms_y=45224, zoom=16)",25580,n/a
"Tile(tms_x=40786, tms_y=45246, zoom=16)",25618,quarry
"Tile(tms_x=40794, tms_y=45214, zoom=16)",25692,n/a
"Tile(tms_x=39543, tms_y=45132, zoom=16)",9312,n/a
"Tile(tms_x=44780, tms_y=47239, zoom=16)",33996,industrial
"Tile(tms_x=38287, tms_y=46571, zoom=16)",2591,farmyard
"Tile(tms_x=40878, tms_y=44998, zoom=16)",26048,residential
"Tile(tms_x=38322, tms_y=46559, zoom=16)",4469,grass
"Tile(tms_x=38322, tms_y=46558, zoom=16)",4468,industrial
"Tile(tms_x=38296, tms_y=46518, zoom=16)",3252,grass
"Tile(tms_x=43835, tms_y=45428, zoom=16)",32765,residential
"Tile(tms_x=43794, tms_y=45402, zoom=16)",32064,grass
"Tile(tms_x=38200, tms_y=46050, zoom=16)",876,residential
"Tile(tms_x=38281, tms_y=46482, zoom=16)",2164,residential
"Tile(tms_x=39502, tms_y=45188, zoom=16)",8792,residential
"Tile(tms_x=40032, tms_y=45690, zoom=16)",22805,industrial
"Tile(tms_x=39582, tms_y=45037, zoom=16)",10723,forest
"Tile(tms_x=51692, tms_y=44031, zoom=16)",38058,n/a
"Tile(tms_x=39593, tms_y=45097, zoom=16)",11558,landfill
"Tile(tms_x=39594, tms_y=45108, zoom=16)",11663,grass
"Tile(tms_x=39595, tms_y=45108, zoom=16)",11757,grass
"Tile(tms_x=42951, tms_y=45800, zoom=16)",30302,residential
"Tile(tms_x=43097, tms_y=45807, zoom=16)",31219,residential
"Tile(tms_x=42951, tms_y=45798, zoom=16)",30300,residential
"Tile(tms_x=39816, tms_y=44842, zoom=16)",19333,residential
"Tile(tms_x=39718, tms_y=45065, zoom=16)",18524,residential
"Tile(tms_x=39715, tms_y=45066, zoom=16)",18492,residential
"Tile(tms_x=38244, tms_y=46406, zoom=16)",1176,residential
"Tile(tms_x=38276, tms_y=46383, zoom=16)",1870,residential
"Tile(tms_x=39621, tms_y=45066, zoom=16)",14428,residential
"Tile(tms_x=39609, tms_y=45026, zoom=16)",13214,recreation_ground
"Tile(tms_x=38253, tms_y=46509, zoom=16)",1313,n/a
"Tile(tms_x=38245, tms_y=46409, zoom=16)",1192,residential
"Tile(tms_x=38244, tms_y=46407, zoom=16)",1177,residential
"Tile(tms_x=47860, tms_y=44798, zoom=16)",35475,residential
"Tile(tms_x=39614, tms_y=45087, zoom=16)",13819,residential
"Tile(tms_x=39357, tms_y=45032, zoom=16)",7566,residential
"Tile(tms_x=39617, tms_y=45084, zoom=16)",14107,industrial
"Tile(tms_x=39616, tms_y=45085, zoom=16)",14019,garages
"Tile(tms_x=38819, tms_y=45791, zoom=16)",5589,residential
"Tile(tms_x=38286, tms_y=46496, zoom=16)",2479,grass
"Tile(tms_x=39509, tms_y=44977, zoom=16)",8844,residential
"Tile(tms_x=39622, tms_y=45034, zoom=16)",14485,commercial
"Tile(tms_x=42931, tms_y=44713, zoom=16)",30219,residential
"Tile(tms_x=55587, tms_y=46007, zoom=16)",38420,garages
"Tile(tms_x=42959, tms_y=44727, zoom=16)",30431,residential
"Tile(tms_x=42889, tms_y=44698, zoom=16)",30173,residential
"Tile(tms_x=42961, tms_y=44717, zoom=16)",30459,grass
"Tile(tms_x=42946, tms_y=44726, zoom=16)",30257,n/a
"Tile(tms_x=42950, tms_y=44723, zoom=16)",30284,residential
"Tile(tms_x=42942, tms_y=44648, zoom=16)",30248,residential
"Tile(tms_x=39616, tms_y=47932, zoom=16)",14032,residential
"Tile(tms_x=38274, tms_y=46515, zoom=16)",1812,grass
"Tile(tms_x=42961, tms_y=44725, zoom=16)",30466,industrial
"Tile(tms_x=40639, tms_y=43324, zoom=16)",24699,n/a
"Tile(tms_x=41717, tms_y=45075, zoom=16)",27964,residential
"Tile(tms_x=41721, tms_y=45064, zoom=16)",28016,forest
"Tile(tms_x=47858, tms_y=44804, zoom=16)",35418,residential
"Tile(tms_x=47854, tms_y=44797, zoom=16)",35346,garages
"Tile(tms_x=39647, tms_y=45068, zoom=16)",16296,residential
"Tile(tms_x=39552, tms_y=41956, zoom=16)",9446,grass
"Tile(tms_x=38268, tms_y=46505, zoom=16)",1577,grass
"Tile(tms_x=39335, tms_y=44182, zoom=16)",7277,residential
"Tile(tms_x=39345, tms_y=44190, zoom=16)",7376,residential
"Tile(tms_x=43792, tms_y=45393, zoom=16)",31992,grass
"Tile(tms_x=43803, tms_y=45424, zoom=16)",32402,recreation_ground
"Tile(tms_x=39531, tms_y=44979, zoom=16)",9059,residential
"Tile(tms_x=41125, tms_y=44498, zoom=16)",26674,residential
"Tile(tms_x=42996, tms_y=45785, zoom=16)",30826,residential
"Tile(tms_x=42962, tms_y=45803, zoom=16)",30492,n/a
"Tile(tms_x=42888, tms_y=45696, zoom=16)",30172,n/a
"Tile(tms_x=49006, tms_y=44979, zoom=16)",37035,n/a
"Tile(tms_x=39611, tms_y=45094, zoom=16)",13504,garages
"Tile(tms_x=36513, tms_y=44715, zoom=16)",301,industrial
"Tile(tms_x=36514, tms_y=44715, zoom=16)",306,retail
"Tile(tms_x=36434, tms_y=44706, zoom=16)",23,n/a
"Tile(tms_x=39017, tms_y=47169, zoom=16)",6283,residential
"Tile(tms_x=39016, tms_y=47172, zoom=16)",6263,residential
"Tile(tms_x=39017, tms_y=47179, zoom=16)",6291,residential
"Tile(tms_x=39024, tms_y=47175, zoom=16)",6426,residential
"Tile(tms_x=39015, tms_y=47167, zoom=16)",6243,recreation_ground
"Tile(tms_x=39624, tms_y=45056, zoom=16)",14686,n/a
"Tile(tms_x=40014, tms_y=44686, zoom=16)",22412,n/a
"Tile(tms_x=40013, tms_y=44685, zoom=16)",22397,grass
"Tile(tms_x=40012, tms_y=44682, zoom=16)",22376,grass
"Tile(tms_x=40012, tms_y=44685, zoom=16)",22378,grass
"Tile(tms_x=40011, tms_y=44685, zoom=16)",22351,residential
"Tile(tms_x=40008, tms_y=44691, zoom=16)",22275,industrial
"Tile(tms_x=39607, tms_y=45062, zoom=16)",13036,residential
"Tile(tms_x=46131, tms_y=46967, zoom=16)",34716,grass
"Tile(tms_x=46128, tms_y=46975, zoom=16)",34650,residential
"Tile(tms_x=46127, tms_y=46972, zoom=16)",34616,grass
"Tile(tms_x=43804, tms_y=45408, zoom=16)",32432,railway
"Tile(tms_x=43805, tms_y=45408, zoom=16)",32466,grass
"Tile(tms_x=43519, tms_y=44306, zoom=16)",31473,n/a
"Tile(tms_x=43520, tms_y=44307, zoom=16)",31475,n/a
"Tile(tms_x=38271, tms_y=46483, zoom=16)",1670,grass
"Tile(tms_x=38250, tms_y=46887, zoom=16)",1257,residential
"Tile(tms_x=39591, tms_y=45133, zoom=16)",11375,residential
"Tile(tms_x=55979, tms_y=43399, zoom=16)",38433,greenhouse_horticulture
"Tile(tms_x=39451, tms_y=44991, zoom=16)",8403,residential
"Tile(tms_x=39553, tms_y=45035, zoom=16)",9490,residential
"Tile(tms_x=39449, tms_y=44999, zoom=16)",8385,allotments
"Tile(tms_x=39611, tms_y=45091, zoom=16)",13501,construction
"Tile(tms_x=42002, tms_y=47179, zoom=16)",29362,n/a
"Tile(tms_x=42017, tms_y=47123, zoom=16)",29458,residential
"Tile(tms_x=42004, tms_y=47175, zoom=16)",29368,n/a
"Tile(tms_x=44706, tms_y=45494, zoom=16)",33828,residential
"Tile(tms_x=44703, tms_y=45495, zoom=16)",33773,grass
"Tile(tms_x=44702, tms_y=45493, zoom=16)",33753,construction
"Tile(tms_x=44703, tms_y=45507, zoom=16)",33780,grass
"Tile(tms_x=44704, tms_y=45515, zoom=16)",33802,residential
"Tile(tms_x=47897, tms_y=44761, zoom=16)",36071,forest
"Tile(tms_x=47874, tms_y=44781, zoom=16)",35837,farmland
"Tile(tms_x=47895, tms_y=44744, zoom=16)",36030,residential
"Tile(tms_x=47894, tms_y=44756, zoom=16)",36017,forest
"Tile(tms_x=47874, tms_y=44783, zoom=16)",35839,construction
"Tile(tms_x=47894, tms_y=44745, zoom=16)",36015,residential
"Tile(tms_x=47892, tms_y=44732, zoom=16)",35990,residential
"Tile(tms_x=47891, tms_y=44771, zoom=16)",35985,residential
"Tile(tms_x=38297, tms_y=46507, zoom=16)",3311,grass
"Tile(tms_x=43002, tms_y=45799, zoom=16)",30905,residential
"Tile(tms_x=43000, tms_y=45800, zoom=16)",30881,residential
"Tile(tms_x=43008, tms_y=45797, zoom=16)",30984,garages
"Tile(tms_x=39885, tms_y=41971, zoom=16)",20511,grass
"Tile(tms_x=39023, tms_y=44260, zoom=16)",6393,grass
"Tile(tms_x=39023, tms_y=44261, zoom=16)",6394,garages
"Tile(tms_x=39026, tms_y=44265, zoom=16)",6445,grass
"Tile(tms_x=39016, tms_y=44253, zoom=16)",6251,residential
"Tile(tms_x=39866, tms_y=41994, zoom=16)",20122,n/a
"Tile(tms_x=39020, tms_y=44252, zoom=16)",6326,n/a
"Tile(tms_x=38732, tms_y=44063, zoom=16)",5455,grass
"Tile(tms_x=39018, tms_y=44266, zoom=16)",6299,residential
"Tile(tms_x=40102, tms_y=44262, zoom=16)",23308,n/a
"Tile(tms_x=39312, tms_y=45137, zoom=16)",7075,residential
"Tile(tms_x=39558, tms_y=45026, zoom=16)",9637,residential
"Tile(tms_x=39558, tms_y=45025, zoom=16)",9636,residential
"Tile(tms_x=39452, tms_y=44991, zoom=16)",8410,residential
"Tile(tms_x=39567, tms_y=44999, zoom=16)",9943,residential
"Tile(tms_x=43791, tms_y=45414, zoom=16)",31983,grass
"Tile(tms_x=42952, tms_y=44387, zoom=16)",30305,allotments
"Tile(tms_x=42954, tms_y=44722, zoom=16)",30342,grass
"Tile(tms_x=40868, tms_y=42946, zoom=16)",25922,industrial
"Tile(tms_x=48250, tms_y=45293, zoom=16)",36618,meadow
"Tile(tms_x=39606, tms_y=44946, zoom=16)",12868,residential
"Tile(tms_x=38339, tms_y=46412, zoom=16)",4625,residential
"Tile(tms_x=39747, tms_y=44969, zoom=16)",18845,residential
"Tile(tms_x=40474, tms_y=45898, zoom=16)",24459,n/a
"Tile(tms_x=39723, tms_y=44989, zoom=16)",18590,residential
"Tile(tms_x=39524, tms_y=44652, zoom=16)",8966,residential
"Tile(tms_x=38002, tms_y=46766, zoom=16)",567,grass
"Tile(tms_x=38284, tms_y=46487, zoom=16)",2337,residential
"Tile(tms_x=41573, tms_y=45102, zoom=16)",27481,residential
"Tile(tms_x=40001, tms_y=42545, zoom=16)",22050,grass
"Tile(tms_x=40920, tms_y=42969, zoom=16)",26231,meadow
"Tile(tms_x=41005, tms_y=44555, zoom=16)",26565,grass
"Tile(tms_x=41003, tms_y=44554, zoom=16)",26555,grass
"Tile(tms_x=40985, tms_y=44563, zoom=16)",26448,residential
"Tile(tms_x=40980, tms_y=44559, zoom=16)",26407,residential
"Tile(tms_x=40982, tms_y=44564, zoom=16)",26425,residential
"Tile(tms_x=40979, tms_y=44559, zoom=16)",26406,residential
"Tile(tms_x=43973, tms_y=44837, zoom=16)",33391,allotments
"Tile(tms_x=43943, tms_y=44889, zoom=16)",33134,residential
"Tile(tms_x=43985, tms_y=44844, zoom=16)",33436,n/a
"Tile(tms_x=43980, tms_y=44843, zoom=16)",33410,residential
"Tile(tms_x=43982, tms_y=44844, zoom=16)",33420,residential
"Tile(tms_x=43944, tms_y=44889, zoom=16)",33159,residential
"Tile(tms_x=43983, tms_y=44844, zoom=16)",33427,n/a
"Tile(tms_x=43982, tms_y=44846, zoom=16)",33422,garages
"Tile(tms_x=39618, tms_y=45094, zoom=16)",14191,residential
"Tile(tms_x=39617, tms_y=45095, zoom=16)",14110,residential
"Tile(tms_x=39613, tms_y=45094, zoom=16)",13726,garages
"Tile(tms_x=39615, tms_y=45093, zoom=16)",13924,residential
"Tile(tms_x=39616, tms_y=45093, zoom=16)",14025,garages
"Tile(tms_x=39617, tms_y=45094, zoom=16)",14109,garages
"Tile(tms_x=39618, tms_y=45095, zoom=16)",14192,residential
"Tile(tms_x=39614, tms_y=45096, zoom=16)",13827,grass
"Tile(tms_x=39597, tms_y=45037, zoom=16)",11916,residential
"Tile(tms_x=39607, tms_y=45077, zoom=16)",13048,residential
"Tile(tms_x=39598, tms_y=45088, zoom=16)",12064,residential
"Tile(tms_x=39202, tms_y=45086, zoom=16)",6771,residential
"Tile(tms_x=39608, tms_y=44941, zoom=16)",13078,residential
"Tile(tms_x=39594, tms_y=45171, zoom=16)",11675,industrial
"Tile(tms_x=39677, tms_y=45019, zoom=16)",17629,residential
"Tile(tms_x=40949, tms_y=44505, zoom=16)",26302,farmland
"Tile(tms_x=38282, tms_y=46513, zoom=16)",2234,grass
"Tile(tms_x=39624, tms_y=45006, zoom=16)",14644,residential
"Tile(tms_x=49658, tms_y=45133, zoom=16)",37223,n/a
"Tile(tms_x=49653, tms_y=45136, zoom=16)",37176,residential
"Tile(tms_x=39648, tms_y=45035, zoom=16)",16318,residential
"Tile(tms_x=44353, tms_y=45157, zoom=16)",33546,grass
"Tile(tms_x=44348, tms_y=45156, zoom=16)",33526,grass
"Tile(tms_x=44353, tms_y=45151, zoom=16)",33544,n/a
"Tile(tms_x=38174, tms_y=46579, zoom=16)",762,industrial
"Tile(tms_x=47876, tms_y=44823, zoom=16)",35877,residential
"Tile(tms_x=47872, tms_y=44822, zoom=16)",35790,garages
"Tile(tms_x=47877, tms_y=44823, zoom=16)",35886,residential
"Tile(tms_x=47871, tms_y=44823, zoom=16)",35763,residential
"Tile(tms_x=47869, tms_y=44820, zoom=16)",35719,residential
"Tile(tms_x=47872, tms_y=44824, zoom=16)",35791,residential
"Tile(tms_x=47881, tms_y=44816, zoom=16)",35910,allotments
"Tile(tms_x=47867, tms_y=44821, zoom=16)",35674,grass
"Tile(tms_x=47874, tms_y=44858, zoom=16)",35854,residential
"Tile(tms_x=39653, tms_y=45035, zoom=16)",16539,grass
"Tile(tms_x=39617, tms_y=45061, zoom=16)",14096,residential
"Tile(tms_x=39622, tms_y=45007, zoom=16)",14469,residential
"Tile(tms_x=38273, tms_y=46448, zoom=16)",1731,residential
"Tile(tms_x=38828, tms_y=45928, zoom=16)",5614,allotments
"Tile(tms_x=39570, tms_y=45088, zoom=16)",10090,n/a
"Tile(tms_x=39576, tms_y=45091, zoom=16)",10374,residential
"Tile(tms_x=39478, tms_y=45091, zoom=16)",8629,residential
"Tile(tms_x=41135, tms_y=43745, zoom=16)",26737,residential
"Tile(tms_x=41152, tms_y=43762, zoom=16)",26932,n/a
"Tile(tms_x=41136, tms_y=43765, zoom=16)",26751,grass
"Tile(tms_x=41144, tms_y=43750, zoom=16)",26843,residential
"Tile(tms_x=41125, tms_y=43773, zoom=16)",26673,residential
"Tile(tms_x=41151, tms_y=43756, zoom=16)",26922,industrial
"Tile(tms_x=39586, tms_y=45021, zoom=16)",10960,residential
"Tile(tms_x=47860, tms_y=44803, zoom=16)",35479,residential
"Tile(tms_x=41812, tms_y=45995, zoom=16)",28636,residential
"Tile(tms_x=41812, tms_y=45996, zoom=16)",28637,residential
"Tile(tms_x=39611, tms_y=45020, zoom=16)",13441,garages
"Tile(tms_x=39606, tms_y=45014, zoom=16)",12888,n/a
"Tile(tms_x=41715, tms_y=45059, zoom=16)",27928,residential
"Tile(tms_x=41977, tms_y=44923, zoom=16)",29328,n/a
"Tile(tms_x=41987, tms_y=44924, zoom=16)",29349,n/a
"Tile(tms_x=39606, tms_y=44970, zoom=16)",12878,retail
"Tile(tms_x=39355, tms_y=45033, zoom=16)",7542,residential
"Tile(tms_x=38286, tms_y=46446, zoom=16)",2434,construction
"Tile(tms_x=41895, tms_y=44247, zoom=16)",28861,grass
"Tile(tms_x=40010, tms_y=41592, zoom=16)",22312,construction
"Tile(tms_x=40043, tms_y=41559, zoom=16)",23015,n/a
"Tile(tms_x=40035, tms_y=41562, zoom=16)",22855,n/a
"Tile(tms_x=47881, tms_y=44807, zoom=16)",35905,garages
"Tile(tms_x=43035, tms_y=45843, zoom=16)",31168,construction
"Tile(tms_x=39574, tms_y=45092, zoom=16)",10256,residential
"Tile(tms_x=39607, tms_y=44989, zoom=16)",12987,residential
"Tile(tms_x=39592, tms_y=44853, zoom=16)",11387,garages
"Tile(tms_x=37921, tms_y=45732, zoom=16)",449,residential
"Tile(tms_x=38297, tms_y=46503, zoom=16)",3308,grass
"Tile(tms_x=38281, tms_y=46515, zoom=16)",2189,residential
"Tile(tms_x=38293, tms_y=46543, zoom=16)",3072,allotments
"Tile(tms_x=39674, tms_y=45120, zoom=16)",17551,industrial
"Tile(tms_x=39622, tms_y=44556, zoom=16)",14458,residential
"Tile(tms_x=39623, tms_y=45079, zoom=16)",14610,residential
"Tile(tms_x=39659, tms_y=44909, zoom=16)",16835,n/a
"Tile(tms_x=39643, tms_y=44942, zoom=16)",16003,grass
"Tile(tms_x=42455, tms_y=45391, zoom=16)",29889,garages
"Tile(tms_x=39614, tms_y=45057, zoom=16)",13800,residential
"Tile(tms_x=38256, tms_y=46447, zoom=16)",1359,grass
"Tile(tms_x=39605, tms_y=45048, zoom=16)",12815,commercial
"Tile(tms_x=39603, tms_y=45049, zoom=16)",12621,grass
"Tile(tms_x=39858, tms_y=45034, zoom=16)",19907,residential
"Tile(tms_x=39859, tms_y=45033, zoom=16)",19929,residential
"Tile(tms_x=39859, tms_y=45032, zoom=16)",19928,residential
"Tile(tms_x=40234, tms_y=45449, zoom=16)",23913,residential
"Tile(tms_x=40237, tms_y=45454, zoom=16)",23940,residential
"Tile(tms_x=39511, tms_y=44911, zoom=16)",8876,military
"Tile(tms_x=39530, tms_y=45119, zoom=16)",9043,garages
"Tile(tms_x=41338, tms_y=44176, zoom=16)",27079,n/a
"Tile(tms_x=39503, tms_y=45184, zoom=16)",8798,industrial
"Tile(tms_x=39534, tms_y=45122, zoom=16)",9118,grass
"Tile(tms_x=39608, tms_y=45058, zoom=16)",13135,grass
"Tile(tms_x=40211, tms_y=45383, zoom=16)",23720,residential
"Tile(tms_x=49653, tms_y=45160, zoom=16)",37182,farmland
"Tile(tms_x=49682, tms_y=45144, zoom=16)",37528,grass
"Tile(tms_x=49683, tms_y=45145, zoom=16)",37546,n/a
"Tile(tms_x=49682, tms_y=45145, zoom=16)",37529,grass
"Tile(tms_x=49683, tms_y=45149, zoom=16)",37550,n/a
"Tile(tms_x=49678, tms_y=45143, zoom=16)",37461,grass
"Tile(tms_x=49668, tms_y=45146, zoom=16)",37322,n/a
"Tile(tms_x=49686, tms_y=45128, zoom=16)",37600,residential
"Tile(tms_x=49757, tms_y=45166, zoom=16)",37822,residential
"Tile(tms_x=49690, tms_y=45130, zoom=16)",37670,residential
"Tile(tms_x=38265, tms_y=46503, zoom=16)",1493,residential
"Tile(tms_x=38264, tms_y=46504, zoom=16)",1471,residential
"Tile(tms_x=38265, tms_y=46502, zoom=16)",1492,garages
"Tile(tms_x=38265, tms_y=46500, zoom=16)",1490,grass
"Tile(tms_x=39597, tms_y=45017, zoom=16)",11902,residential
"Tile(tms_x=46130, tms_y=46969, zoom=16)",34692,residential
"Tile(tms_x=43117, tms_y=46287, zoom=16)",31239,n/a
"Tile(tms_x=46138, tms_y=46964, zoom=16)",34858,grass
"Tile(tms_x=38891, tms_y=44887, zoom=16)",5818,n/a
"Tile(tms_x=39664, tms_y=45048, zoom=16)",17116,residential
"Tile(tms_x=39138, tms_y=44981, zoom=16)",6687,n/a
"Tile(tms_x=39232, tms_y=45094, zoom=16)",6846,residential
"Tile(tms_x=39231, tms_y=45095, zoom=16)",6843,residential
"Tile(tms_x=39571, tms_y=45415, zoom=16)",10130,grass
"Tile(tms_x=39599, tms_y=44940, zoom=16)",12111,grass
"Tile(tms_x=39453, tms_y=44929, zoom=16)",8419,grass
"Tile(tms_x=46185, tms_y=47104, zoom=16)",34974,grass
"Tile(tms_x=39727, tms_y=44517, zoom=16)",18639,n/a
"Tile(tms_x=39557, tms_y=45336, zoom=16)",9608,residential
"Tile(tms_x=39633, tms_y=45089, zoom=16)",15321,garages
"Tile(tms_x=39602, tms_y=45023, zoom=16)",12505,residential
"Tile(tms_x=39658, tms_y=45132, zoom=16)",16827,grass
"Tile(tms_x=39633, tms_y=44984, zoom=16)",15267,n/a
"Tile(tms_x=42015, tms_y=47121, zoom=16)",29432,n/a
"Tile(tms_x=41980, tms_y=47063, zoom=16)",29331,allotments
"Tile(tms_x=52044, tms_y=44482, zoom=16)",38340,n/a
"Tile(tms_x=51744, tms_y=43966, zoom=16)",38119,residential
"Tile(tms_x=51760, tms_y=43966, zoom=16)",38262,residential
"Tile(tms_x=39737, tms_y=44496, zoom=16)",18773,residential
"Tile(tms_x=51748, tms_y=43962, zoom=16)",38140,n/a
"Tile(tms_x=38268, tms_y=46453, zoom=16)",1558,residential
"Tile(tms_x=38260, tms_y=46447, zoom=16)",1409,residential
"Tile(tms_x=38315, tms_y=46453, zoom=16)",4236,residential
"Tile(tms_x=38284, tms_y=46490, zoom=16)",2340,residential
"Tile(tms_x=38305, tms_y=46455, zoom=16)",3805,grass
"Tile(tms_x=39610, tms_y=45026, zoom=16)",13329,residential
"Tile(tms_x=39569, tms_y=45037, zoom=16)",10035,residential
"Tile(tms_x=39577, tms_y=45039, zoom=16)",10411,residential
"Tile(tms_x=39506, tms_y=45011, zoom=16)",8824,military
"Tile(tms_x=47874, tms_y=44762, zoom=16)",35833,residential
"Tile(tms_x=47874, tms_y=44764, zoom=16)",35835,residential
"Tile(tms_x=47892, tms_y=44764, zoom=16)",35994,industrial
"Tile(tms_x=47873, tms_y=44762, zoom=16)",35806,residential
"Tile(tms_x=39614, tms_y=45028, zoom=16)",13776,residential
"Tile(tms_x=38831, tms_y=45925, zoom=16)",5622,allotments
"Tile(tms_x=38299, tms_y=46449, zoom=16)",3410,grass
"Tile(tms_x=39568, tms_y=45075, zoom=16)",10002,residential
"Tile(tms_x=38302, tms_y=46511, zoom=16)",3642,residential
"Tile(tms_x=38301, tms_y=46513, zoom=16)",3577,grass
"Tile(tms_x=38270, tms_y=46556, zoom=16)",1658,residential
"Tile(tms_x=47896, tms_y=44732, zoom=16)",36046,residential
"Tile(tms_x=46713, tms_y=46854, zoom=16)",35072,grass
"Tile(tms_x=38195, tms_y=46469, zoom=16)",854,n/a
"Tile(tms_x=38304, tms_y=46513, zoom=16)",3772,grass
"Tile(tms_x=38306, tms_y=46512, zoom=16)",3890,n/a
"Tile(tms_x=38446, tms_y=44997, zoom=16)",4933,industrial
"Tile(tms_x=38446, tms_y=45000, zoom=16)",4935,n/a
"Tile(tms_x=38312, tms_y=46446, zoom=16)",4108,industrial
"Tile(tms_x=39656, tms_y=45042, zoom=16)",16694,residential
"Tile(tms_x=39656, tms_y=45538, zoom=16)",16720,residential
"Tile(tms_x=39624, tms_y=45087, zoom=16)",14707,construction
"Tile(tms_x=39592, tms_y=45132, zoom=16)",11474,residential
"Tile(tms_x=41087, tms_y=41532, zoom=16)",26616,residential
"Tile(tms_x=39637, tms_y=45096, zoom=16)",15612,n/a
"Tile(tms_x=43944, tms_y=44886, zoom=16)",33157,residential
"Tile(tms_x=43758, tms_y=44801, zoom=16)",31804,residential
"Tile(tms_x=43946, tms_y=44887, zoom=16)",33194,residential
"Tile(tms_x=40582, tms_y=41764, zoom=16)",24558,residential
"Tile(tms_x=43860, tms_y=45180, zoom=16)",32831,n/a
"Tile(tms_x=43933, tms_y=44867, zoom=16)",32982,residential
"Tile(tms_x=38173, tms_y=46578, zoom=16)",759,industrial
"Tile(tms_x=39599, tms_y=45092, zoom=16)",12194,residential
"Tile(tms_x=39653, tms_y=45055, zoom=16)",16554,grass
"Tile(tms_x=39642, tms_y=45046, zoom=16)",15970,residential
"Tile(tms_x=39579, tms_y=45009, zoom=16)",10529,n/a
"Tile(tms_x=39601, tms_y=45238, zoom=16)",12443,residential
"Tile(tms_x=39654, tms_y=45056, zoom=16)",16604,n/a
"Tile(tms_x=39654, tms_y=45051, zoom=16)",16599,n/a
"Tile(tms_x=39601, tms_y=45085, zoom=16)",12426,industrial
"Tile(tms_x=39634, tms_y=45056, zoom=16)",15381,residential
"Tile(tms_x=39652, tms_y=45045, zoom=16)",16500,grass
"Tile(tms_x=39655, tms_y=45047, zoom=16)",16647,grass
"Tile(tms_x=39654, tms_y=45055, zoom=16)",16603,grass
"Tile(tms_x=56882, tms_y=41528, zoom=16)",38556,n/a
"Tile(tms_x=38272, tms_y=46483, zoom=16)",1702,residential
